 RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,
Plate No.:,22,,,,,Operator Name :,,JSS,,,Result Date,,:,10/02/24 3:48:00 PM,,,Filters:,,450 - 630,,Print Date:,,10/02/24 03:48:33 PM,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"A
OD",0.0128,,0.0071,,1.3125,,1.6630,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,
,,,,,,,,,,,,,,,,,,,,,,,,,
B,0.0174,,0.0131,,2.3090,,0.0081,,0.0000,,0.0000,,0.0001,,0.0000,,0.0000,,0.0000,,0.0000,,0.0000,,
C,0.0190,,0.0104,,2.3589,,0.0057,,0.0000,,0.0000,,0.0000,,0.0001,,0.0000,,0.0000,,0.0000,,0.0000,,
D,2.3154,,0.0148,,2.5671,,0.0062,,0.0001,,0.0003,,0.0001,,0.0002,,0.0002,,0.0002,,0.0002,,0.0002,,
E,2.3809,,0.0134,,2.5335,,0.0096,,0.0002,,0.0002,,0.0001,,0.0002,,0.0002,,0.0001,,0.0001,,0.0003,,
F,0.0091,,0.0194,,2.2282,,0.0040,,0.0004,,0.0006,,0.0005,,0.0004,,0.0002,,0.0003,,0.0007,,0.0004,,
G,0.0103,,0.0123,,1.3895,,0.0080,,0.0001,,0.0001,,0.0001,,0.0000,,0.0001,,0.0002,,0.0001,,0.0001,,
H,0.0274,,1.8856,,2.3172,,0.0052,,0.0001,,0.0002,,0.0002,,0.0001,,0.0001,,0.0003,,0.0001,,0.0002,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page No.:,,1|1,,,,,
